p1,17.175,84.327
p2,55.038,30.114
p3,29.221,22.405
p4,34.983,85.627
p5,6.711,50.021
p6,99.812,57.873
p7,99.113,76.225
p8,13.069,63.972
p9,15.952,25.008
p10,66.893,43.536
p11,35.970,35.144
p12,13.149,15.010
p13,58.911,83.089
p14,23.082,66.573
p15,77.586,30.366
p16,11.049,50.238
p17,16.017,87.246
p18,26.511,28.581
p19,59.396,72.272
p20,62.825,46.380
p21,41.331,11.770
p22,31.421,4.655
p23,33.855,18.210
p24,64.573,56.075
p25,76.996,29.781
p26,66.111,75.582
p27,62.745,28.386
p28,8.642,10.251
p29,64.125,54.531
p30,3.152,79.236
p31,7.277,17.566
p32,52.563,75.021
p33,17.812,3.414
p34,58.513,62.123
p35,38.936,35.871
p36,24.303,24.642
p37,13.050,93.345
p38,37.994,78.340
p39,30.003,12.548
p40,74.887,6.923
p41,20.202,0.507
p42,26.961,49.985
p43,15.129,17.417
p44,33.064,31.691
p45,32.209,96.398
p46,99.360,36.990
p47,37.289,77.198
p48,39.668,91.310
p49,11.958,73.548
p50,5.542,57.630
